sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2
267,12.960398845870191,77.76549226295137,184,985,1317600,3.71,1909877.0,900.0
388,12.94099523573321,77.66254533139127,256,603,1222200,1.07,1284471.0,3600.0
309,12.953661481239294,77.74258522320632,209,900,1079100,0.76,819343.0,3600.0
570,12.9078474017492,77.61484478980452,379,426,352800,2.57,746571.0,15995700.0
11,12.988965271905192,77.77465507884938,78,1019,972000,1.26,541821.0,17100.0
378,12.940456246562738,77.68248793069871,258,677,301500,2.33,261122.0,307800.0
497,12.922939098522408,77.64044677540193,323,521,239400,3.07,253640.0,55174500.0
610,12.897876102095472,77.67116915811881,416,635,18900,16.16,202464.0,230400.0
681,12.87469956776519,77.77303811133797,502,1013,212400,1.65,181119.0,81900.0
544,12.913506788039152,77.61700074648641,358,434,171900,2.57,177266.0,2700.0
389,12.938569784466086,77.77815850845745,265,1032,116100,3.24,169695.0,8732700.0
519,12.91889667974387,77.72021717263173,338,817,134100,1.4,107387.0,10800.0
542,12.91566274472104,77.67359460938593,350,644,86400,1.08,93313.0,46800.0
345,12.944768159926511,77.69353720869339,242,718,326700,0.46,83175.0,900.0
104,12.98707880980854,77.62023468150923,85,446,76500,0.96,73118.0,217800.0
121,12.98384487478571,77.63667385120863,97,507,24300,4.25,72648.0,3811500.0
172,12.980071950592409,77.65553847217514,111,577,44100,2.27,68653.0,362700.0
344,12.948271589534578,77.58142746123528,229,302,31500,2.13,63531.0,1800.0
443,12.930215452323775,77.7724991221675,296,1011,45900,1.99,60094.0,900.0
525,12.918357690573398,77.62697204614014,340,471,67500,7.85,59014.0,1800.0
15,13.002440001166985,77.58600886918428,28,319,33300,4.55,58194.0,222300.0
296,12.954739459580239,77.59193775005947,205,341,210600,0.7,55698.0,6300.0
72,12.991929712342786,77.63748233496433,67,510,25200,2.3,45558.0,27000.0
442,12.929676463153303,77.64529767793617,298,539,181800,0.34,41549.0,88952400.0
636,12.89086924287934,77.63020598116296,442,483,162900,0.34,39432.0,61200.0
