sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2
258,11.89185281541002,76.99878016795536,379,456,183600,2.19,156873.0,8215200.0
156,11.92958205734304,77.00012764088153,239,461,203400,1.0,99967.0,1800.0
334,11.870832237761624,76.95350507763573,457,288,56700,1.99,92025.0,41400.0
265,11.892930793750963,76.95134912095385,375,280,136800,1.27,90914.0,2700.0
6,11.985906425657333,76.97641211738078,30,373,212400,0.82,87184.0,900.0
183,11.9179937901779,76.99042583581304,282,425,98100,1.41,74843.0,900.0
71,11.957070505037098,76.97829857947742,137,380,164700,0.75,71855.0,386100.0
335,11.86975425942068,76.96590182855658,461,334,63000,2.28,69608.0,22500.0
231,11.903980071745634,76.95889496934045,334,308,66600,3.58,66232.0,7200.0
286,11.882689999512001,76.94730670217531,413,265,77400,1.72,58770.0,7200.0
252,11.897512201699973,76.97722060113648,358,376,41400,1.8,56457.0,67500.0
248,11.896703717944266,76.99392926542112,361,438,117900,1.37,51188.0,900.0
27,11.974048663906956,76.91092493316846,74,130,55800,1.66,46424.0,7200.0
247,11.898320685455682,76.95296608846526,355,286,61200,1.51,45729.0,1800.0
419,11.856010035573652,76.94730670217531,512,265,51300,2.51,44416.0,1800.0
57,11.960573934645163,76.92898107037927,124,197,9900,5.62,41373.0,163800.0
119,11.941439819093418,76.9074215035604,195,117,36900,1.62,38196.0,593100.0
216,11.907214006768465,76.99931915712583,322,458,90000,1.15,36632.0,9900.0
402,11.85924397059648,76.92978955413497,500,200,27900,2.18,34228.0,8100.0
134,11.937127905729644,76.88370598005964,211,29,33300,1.94,31428.0,1130400.0
84,11.953567075429032,76.89664172015097,150,77,32400,1.37,24534.0,13500.0
359,11.865172851471671,76.93194551081686,478,208,28800,1.25,24470.0,7200.0
115,11.94251779743436,76.94730670217531,191,265,71100,0.61,24139.0,47925000.0
408,11.85924397059648,76.94461175632294,500,255,9900,3.54,23679.0,27900.0
227,11.905058050086577,76.99446825459158,330,440,92700,0.36,22355.0,18000.0
