sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2
362,13.026425019252976,80.24160851209841,284,377,569700,3.65,1334754.0,124200.0
76,13.078706968788731,80.21007764562582,90,260,1189800,5.11,1327518.0,3600.0
78,13.07951545254444,80.27044443271865,87,484,1274400,2.81,1141542.0,66696300.0
335,13.019148665451608,80.22786428825138,311,326,515700,3.15,1043460.0,37090800.0
527,12.99947556072939,80.16049064194242,384,76,513000,3.09,696375.0,37800.0
608,12.97414306971722,80.16884497408473,478,107,61200,16.2,637434.0,6300.0
612,12.971717618450096,80.17558233871563,487,132,81900,9.41,530766.0,623700.0
140,13.069544152890712,80.20226230265398,124,231,997200,0.74,470601.0,16200.0
616,12.967944694256795,80.22678630991044,501,322,749700,0.63,402480.0,900.0
152,13.066849207038354,80.263976562673,134,460,500400,3.0,374814.0,3600.0
624,12.969022672597738,80.16722800657331,497,101,44100,7.8,309717.0,1800.0
419,13.015914730428777,80.27071392730389,323,485,215100,3.41,282474.0,10800.0
647,12.957434405432597,80.20792168894393,540,252,990900,0.36,263979.0,1800.0
618,12.970370145523917,80.17989425207941,492,148,31500,6.22,166689.0,2700.0
408,13.021035127548258,80.18797908963647,304,178,176400,1.72,158112.0,18000.0
428,13.020226643792551,80.24807638214408,307,401,84600,3.65,153423.0,2700.0
98,13.078706968788731,80.26667150852535,90,470,58500,2.31,131085.0,66482100.0
387,13.024538557156324,80.2677494868663,291,474,42300,2.87,121401.0,1800.0
406,13.022652095059673,80.26640201394011,298,469,68400,2.87,106704.0,1800.0
233,13.056877907384628,80.187440100466,171,176,247500,0.64,98046.0,3600.0
37,13.088408773857223,80.2467289092179,54,396,216900,0.74,93393.0,105300.0
263,13.046637113145664,80.19552493802308,209,206,226800,0.61,88632.0,1227600.0
28,13.092990181806233,80.17342638203374,37,124,353700,0.38,82755.0,229500.0
418,13.02157411671873,80.23729659873464,302,361,24300,3.15,76545.0,2700.0
23,13.094607149317648,80.21169461313723,31,266,324000,0.33,73881.0,3600.0
