sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2,rsi,gw_depth_m,ksat_mm_hr,recharge_score
37,13.458424839386057,77.73396139647876,173,267,26100,5.84,88984.0,10800.0,0.5794412618990834,7.75026932448499,19.25811237704859,51561.00124882804
66,13.426624478328224,77.75929388749094,291,361,389700,1.48,166363.0,7200.0,0.19631206759676256,7.7502832648846,6.380191536034333,32659.06450160021
17,13.483218341227754,77.73962078276871,81,288,25200,3.93,55090.0,75600.0,0.503215493767553,7.750266695948165,18.420456266991973,27722.1415516545
99,13.390781698491857,77.74743612574056,424,317,83700,0.72,34161.0,30600.0,0.7246361786686374,7.750285760816403,19.77548073995021,24754.296499499324
19,13.482409857472046,77.73557836399019,84,273,9000,6.3,30591.0,60300.0,0.5658862445774425,7.7502655231114925,19.417219941450426,17311.026107868543
116,13.374342528792468,77.72991897770022,485,252,12600,3.43,24120.0,6300.0,0.6583448920886931,7.750282988077061,18.73126249327917,15879.278797179277
22,13.479984406204924,77.79944858069108,93,510,50400,0.65,20024.0,8386200.0,0.6657074137545901,7.7502868878440365,16.231564552943773,13330.125253021912
41,13.453843431437043,77.72452908599551,190,232,27000,1.6,27440.0,6300.0,0.46876035459076393,7.750267080878429,20.656039240321277,12862.784129970561
16,13.482948846642518,77.72641554809216,82,239,16200,2.74,19296.0,36000.0,0.6068158565103442,7.750262438285061,24.520748141958858,11709.118767223601
47,13.44441112095379,77.74015977193919,225,290,52200,0.56,15787.0,11700.0,0.6716178159267115,7.750273858152933,22.505416254673154,10602.830460034995
34,13.462736752749828,77.74743612574056,157,317,45900,0.52,23869.0,76500.0,0.4318116054026582,7.750272940420223,6.380191536034333,10306.911209356049
54,13.436326283396715,77.74069876110966,255,292,54000,0.39,14887.0,900.0,0.6672031868120223,7.750275480382977,22.246091368960084,9932.653842070577
24,13.477828449523036,77.74366320154725,101,303,14400,1.63,17343.0,171900.0,0.5581158541102537,7.7502689897961226,18.96212695588392,9679.403257834128
98,13.391859676832798,77.73692583691636,420,278,29700,0.5,9989.0,57600.0,0.6980090794316268,7.750282162596212,20.279957940198166,6972.412694442521
63,13.43012790793629,77.74770562032579,278,318,22500,1.47,14561.0,47733300.0,0.45056107524833083,7.750278866921597,6.380191536034333,6560.619816690945
57,13.434978810470536,77.77923648679838,260,435,36900,0.42,10412.0,6300.0,0.5719600262316644,7.750288289936527,6.380191536034333,5955.24779312409
51,13.436865272567186,77.73854280442778,253,284,32400,0.41,8756.0,144900.0,0.6397242520271046,7.750274682776716,21.785810246187996,5601.425550749328
104,13.389703720150912,77.72021717263173,428,216,9900,1.72,9819.0,900.0,0.5261454752740594,7.750277137371907,20.741829020417192,5166.222421715989
93,13.397249568537516,77.70350850834711,400,154,10800,1.23,7857.0,28800.0,0.6307509826197063,7.7502704019939115,22.05567650631206,4955.8104704430325
36,13.461928268994122,77.74932258783721,160,324,24300,0.35,8504.0,8100.0,0.4582696992807252,7.7502737013025875,6.380191536034333,3897.1255226832873
78,13.414227727407374,77.79459767815683,337,492,30600,0.21,5463.0,8100.0,0.7026932268200455,7.750296988966951,17.42396740400119,3838.813098117909
12,13.486991265421056,77.75040056617816,67,328,18000,0.32,4374.0,3600.0,0.5563266823566254,7.750269535542942,18.97989111537843,2433.3729086278795
35,13.461928268994122,77.74528016905867,160,309,10800,0.52,5616.0,20700.0,0.39179152111743304,7.75027238249175,6.380191536034333,2200.301182595504
72,13.422043070379214,77.71940868887603,308,213,9900,0.44,4356.0,900.0,0.09424603491260317,7.750271121630957,6.380191536034333,410.5357280792994
74,13.421504081208743,77.71806121594985,310,208,10800,0.44,4752.0,6300.0,0.0,7.750270781445107,6.380191536034333,0.0
