sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2
66,13.426624478328224,77.75929388749094,291,361,389700,1.48,166363.0,7200.0
37,13.458424839386055,77.73396139647876,173,267,26100,5.84,88984.0,10800.0
17,13.483218341227754,77.73962078276871,81,288,25200,3.93,55090.0,75600.0
99,13.390781698491855,77.74743612574056,424,317,83700,0.72,34161.0,30600.0
19,13.482409857472046,77.73557836399019,84,273,9000,6.3,30591.0,60300.0
41,13.453843431437045,77.72452908599551,190,232,27000,1.6,27440.0,6300.0
116,13.374342528792468,77.72991897770022,485,252,12600,3.43,24120.0,6300.0
34,13.462736752749828,77.74743612574056,157,317,45900,0.52,23869.0,76500.0
22,13.479984406204924,77.79944858069108,93,510,50400,0.65,20024.0,8386200.0
16,13.482948846642518,77.72641554809216,82,239,16200,2.74,19296.0,36000.0
24,13.477828449523036,77.74366320154725,101,303,14400,1.63,17343.0,171900.0
47,13.44441112095379,77.74015977193919,225,290,52200,0.56,15787.0,11700.0
54,13.436326283396715,77.74069876110966,255,292,54000,0.39,14887.0,900.0
63,13.43012790793629,77.74770562032579,278,318,22500,1.47,14561.0,47733300.0
57,13.434978810470536,77.77923648679838,260,435,36900,0.42,10412.0,6300.0
98,13.391859676832798,77.73692583691636,420,278,29700,0.5,9989.0,57600.0
104,13.389703720150912,77.72021717263173,428,216,9900,1.72,9819.0,900.0
51,13.436865272567186,77.73854280442778,253,284,32400,0.41,8756.0,144900.0
36,13.461928268994122,77.74932258783721,160,324,24300,0.35,8504.0,8100.0
93,13.397249568537516,77.70350850834711,400,154,10800,1.23,7857.0,28800.0
35,13.461928268994122,77.74528016905867,160,309,10800,0.52,5616.0,20700.0
78,13.414227727407374,77.79459767815683,337,492,30600,0.21,5463.0,8100.0
74,13.421504081208743,77.71806121594985,310,208,10800,0.44,4752.0,6300.0
12,13.486991265421056,77.75040056617816,67,328,18000,0.32,4374.0,3600.0
72,13.422043070379214,77.71940868887603,308,213,9900,0.44,4356.0,900.0
