sink_id,lat,lon,inflow_m3,capacity_m3,fill_ratio,level
56,14.25612881168419,76.35064569046311,109,12429.0,0.01,GREEN
21,14.273915454309757,76.3994242103908,16,2781.0,0.01,GREEN
14,14.277149389332587,76.3641204197249,2,51740.0,0.0,GREEN
80,14.23726419071768,76.38002060025381,2,34344.0,0.0,GREEN
74,14.239150652814333,76.37543919230481,0,24571.0,0.0,GREEN
148,14.171777006505367,76.47003179172259,8,19755.0,0.0,GREEN
98,14.219477548092112,76.37166626811151,37,12258.0,0.0,GREEN
54,14.257206790025132,76.42502619598821,21,12096.0,0.0,GREEN
117,14.203038378392726,76.39996319956127,0,10998.0,0.0,GREEN
36,14.265022132996974,76.34067439080938,0,10332.0,0.0,GREEN
19,14.274723938065463,76.45413161119367,0,9504.0,0.0,GREEN
3,14.292241086105795,76.39619027536797,13,7659.0,0.0,GREEN
109,14.208158775512208,76.39969370497603,0,7614.0,0.0,GREEN
55,14.25612881168419,76.40670056419216,0,3798.0,0.0,GREEN
