sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2
14,14.277149389332587,76.3641204197249,70,123,48600,3.26,51740.0,900.0
80,14.23726419071768,76.38002060025381,218,182,32400,1.06,34344.0,9900.0
74,14.239150652814331,76.37543919230481,211,165,63000,0.39,24571.0,3600.0
148,14.171777006505367,76.47003179172259,461,516,10800,2.81,19755.0,29700.0
56,14.25612881168419,76.35064569046311,148,73,17100,1.43,12429.0,2417400.0
98,14.219477548092113,76.37166626811151,284,151,13500,1.5,12258.0,425700.0
54,14.257206790025133,76.42502619598821,144,349,37800,0.32,12096.0,9000.0
117,14.203038378392726,76.39996319956127,345,256,11700,0.94,10998.0,900.0
36,14.265022132996974,76.34067439080938,115,36,13500,1.54,10332.0,900.0
19,14.274723938065463,76.45413161119367,79,457,17100,0.99,9504.0,109800.0
3,14.292241086105795,76.39619027536797,14,242,11700,0.92,7659.0,489600.0
109,14.208158775512207,76.39969370497603,326,255,11700,1.19,7614.0,900.0
55,14.25612881168419,76.40670056419216,148,281,11700,0.45,3798.0,4500.0
21,14.273915454309757,76.3994242103908,82,254,9000,0.47,2781.0,1337400.0
