sink_id,lat,lon,inflow_m3,capacity_m3,fill_ratio,level
105,13.28837375610223,77.5065079665397,0,540640.0,0.0,GREEN
178,13.25118350333968,77.52483359833573,0,156008.0,0.0,GREEN
78,13.30912483916539,77.51459280409678,0,109732.0,0.0,GREEN
57,13.323138557597655,77.56687475363253,0,64260.0,0.0,GREEN
116,13.286217799420342,77.54639316515461,0,58454.0,0.0,GREEN
61,13.32206057925671,77.55097457310362,0,46125.0,0.0,GREEN
168,13.264388738016237,77.51728774994913,0,36308.0,0.0,GREEN
201,13.241212203685954,77.57145616158154,0,25120.0,0.0,GREEN
223,13.22719848525369,77.54504569222843,0,21394.0,0.0,GREEN
94,13.30454343121638,77.50677746112494,0,19468.0,0.0,GREEN
10,13.359520326604494,77.55393901354121,0,18260.0,0.0,GREEN
59,13.322330073841949,77.53642186550088,0,14903.0,0.0,GREEN
29,13.34739307026888,77.54396771388748,0,13338.0,0.0,GREEN
160,13.270856608061898,77.5380388330123,0,12861.0,0.0,GREEN
120,13.285948304835106,77.48602637806178,0,11529.0,0.0,GREEN
143,13.279480434789445,77.51674876077867,0,7713.0,0.0,GREEN
114,13.290529712784116,77.52618107126192,0,7623.0,0.0,GREEN
