sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2
32,19.16793712219291,72.9736090428726,63,307,16290900,3.79,20791043.0,2700.0
147,19.083585317014087,72.98573629920821,376,352,8322300,3.25,8762111.0,900.0
345,19.068224125655643,72.94423413308189,433,198,7495200,1.79,6503085.0,45000.0
366,19.0881667249631,72.99813305012906,359,398,8449200,3.47,6332480.0,900.0
580,19.054749396393852,72.95366644356514,483,233,3932100,1.94,3708891.0,6300.0
490,19.06579867438852,72.91243377202406,442,80,1728900,2.4,1930383.0,1800.0
199,19.135328277379372,72.90219297778509,184,42,902700,2.48,1598634.0,2700.0
15,19.178716905602347,72.97657348331019,23,318,648900,2.2,814230.0,216000.0
416,19.085202284525504,72.99274315842435,370,378,601200,3.18,619929.0,7200.0
526,19.067146147314702,72.98007691291826,437,331,616500,3.38,448785.0,900.0
299,19.107300840514842,72.96094279736651,288,260,153900,4.61,368514.0,900.0
16,19.17440499223857,73.0374792595735,39,544,708300,1.27,333810.0,1800.0
595,19.05744434224621,72.93264586591675,473,155,392400,1.31,302661.0,900.0
673,19.028877916211208,72.94396463849665,579,197,396000,0.95,218601.0,1527300.0
220,19.126165461481353,72.97980741833302,218,330,90900,3.14,176157.0,900.0
120,19.155270876686824,72.98762276130486,110,359,284400,1.67,171927.0,900.0
27,19.174943981409044,72.98843124506057,37,362,389700,0.5,127728.0,2700.0
364,19.095982067934937,72.937496768451,330,173,216000,1.01,111501.0,900.0
584,19.05933080434286,72.93911373596241,466,179,66600,2.4,80973.0,1800.0
604,19.05825282600192,72.93965272513289,470,181,94500,1.61,69021.0,57600.0
662,19.03669325918305,73.04367763503392,550,567,37800,4.0,67608.0,1554300.0
320,19.10083297046918,73.03047240035737,312,518,125100,1.35,64908.0,900.0
482,19.077386941553662,72.92752546879727,399,136,150300,0.78,62919.0,2700.0
38,19.17521347599428,73.0412521837668,36,558,65700,1.91,60885.0,900.0
530,19.071188566093237,72.99220416925387,422,376,111600,1.18,59436.0,900.0
