sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2,rsi,gw_depth_m,ksat_mm_hr,recharge_score
441,18.91649867416785,73.01160777939086,484,448,2549700,0.72,993393.0,900.0,0.7214218175867512,7.747575650140051,9.817488094620359,716655.3836379555
35,19.008126833148044,73.04017420542586,144,554,5069700,3.24,6453710.0,900.0,0.09411651415702854,7.747540589933856,6.380191536034333,607400.6885803567
472,18.90598838534365,72.98923972881627,523,365,895500,0.57,345006.0,14400.0,0.6455679160616381,7.747579383788157,9.411533301828248,222724.8044487615
401,18.927278457577287,72.96741066741218,444,284,1557000,0.62,464436.0,14400.0,0.4654111184909716,7.747570962095953,6.380191536034333,216153.6782274729
561,18.895478096519454,73.05472691302859,562,608,171000,2.65,142542.0,7200.0,0.8359657861896652,7.747584370896675,10.50284726597503,119160.23509504726
316,18.954766905271345,72.95905633526986,342,253,315900,2.89,247491.0,7200.0,0.38083252195699957,7.747560350871095,6.380191536034333,94252.62169165978
465,18.90949181495172,73.03424532455067,510,532,601200,1.11,153495.0,272700.0,0.5931864226481902,7.747578660990293,9.823668903909242,91051.14994438396
242,18.97066708580026,73.04179117293727,283,560,130500,1.75,134091.0,1800.0,0.6072350456566851,7.747555131321179,9.56651411485171,81424.75450715056
473,18.91245625538932,72.99678557720289,499,393,250200,0.59,96543.0,33300.0,0.7638745518909122,7.747577004870669,9.973028266333355,73746.74086320434
564,18.895208601934225,72.9870837721344,563,357,434700,0.38,118926.0,900.0,0.5408361442758851,7.747583481097167,9.302086705465031,64319.47929415391
257,18.9641992157546,72.94100019805906,307,186,205200,5.8,669132.0,1800.0,0.08416694888318556,7.747556567461872,6.380191536034333,56318.79884010372
134,19.003814919784272,73.04098268918156,160,557,449100,1.1,268236.0,900.0,0.16273688831527808,7.7475422716517395,9.321097482252242,43651.89197413693
479,18.91218676080408,72.92186608250732,500,115,81000,5.64,292761.0,3600.0,0.14629812274306314,7.747576196124516,6.380191536034333,42830.38471238191
383,18.94560408937333,72.95636138941751,376,243,59400,2.79,111051.0,5400.0,0.28919598923862483,7.747563829526822,9.677883353226143,32115.503800938524
507,18.908683331196013,72.94477312225236,513,200,531000,1.15,218007.0,7200.0,0.14515076920582332,7.747577793514693,6.380191536034333,31643.88374225392
34,19.028877916211208,72.94396463849665,67,197,342900,0.85,173799.0,900.0,0.17075352892434142,7.747531806479895,6.380191536034333,29676.792573521616
438,18.92916491967394,72.99786355554383,437,397,607500,1.47,291942.0,900.0,0.1004196290544019,7.747570606302009,8.976224719980097,29316.7073454002
30,19.030764378307857,73.00972131729421,60,441,191700,2.68,191187.0,44100.0,0.08854843798518856,7.7475315422939515,6.380191536034333,16929.310213074245
579,18.894939107348986,72.946659584349,564,207,216900,1.15,127269.0,2700.0,0.12735719193677358,7.7475830509748445,9.894345011538645,16208.622460601237
121,19.001658963102383,72.89410814022803,168,12,270000,0.95,112167.0,27000.0,0.1190591517792531,7.747541910084139,6.380191536034333,13354.507877623482
312,18.958539829464648,72.92590850128585,328,130,23400,12.05,144009.0,900.0,0.07169091274398047,7.747558590368254,6.380191536034333,10324.136653347883
42,19.02618297035885,73.00972131729421,77,441,171000,2.68,141840.0,900.0,0.06976459255621434,7.7475333164889975,6.380191536034333,9895.409808173441
260,18.963121237413656,73.00163647973713,311,411,1070100,0.88,337383.0,38700.0,0.0,7.747557591580545,9.978234740704295,0.0
520,18.90517990158795,72.966063194486,526,279,272700,1.32,189081.0,11700.0,0.0,7.747579391932506,10.103698619477868,0.0
4,19.04289163464347,73.00379243641902,15,419,265500,0.8,124641.0,2956500.0,0.0,7.74752680038391,6.380191536034333,0.0
