sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2
35,19.008126833148044,73.04017420542586,144,554,5069700,3.24,6453710.0,900.0
441,18.916498674167855,73.01160777939086,484,448,2549700,0.72,993393.0,900.0
257,18.9641992157546,72.94100019805906,307,186,205200,5.8,669132.0,1800.0
401,18.927278457577287,72.96741066741218,444,284,1557000,0.62,464436.0,14400.0
472,18.905988385343655,72.98923972881627,523,365,895500,0.57,345006.0,14400.0
260,18.963121237413656,73.00163647973713,311,411,1070100,0.88,337383.0,38700.0
479,18.91218676080408,72.92186608250732,500,115,81000,5.64,292761.0,3600.0
438,18.92916491967394,72.99786355554383,437,397,607500,1.47,291942.0,900.0
134,19.003814919784272,73.04098268918156,160,557,449100,1.1,268236.0,900.0
316,18.954766905271345,72.95905633526986,342,253,315900,2.89,247491.0,7200.0
507,18.908683331196013,72.94477312225236,513,200,531000,1.15,218007.0,7200.0
30,19.030764378307857,73.00972131729421,60,441,191700,2.68,191187.0,44100.0
520,18.90517990158795,72.966063194486,526,279,272700,1.32,189081.0,11700.0
34,19.028877916211208,72.94396463849665,67,197,342900,0.85,173799.0,900.0
465,18.90949181495172,73.03424532455067,510,532,601200,1.11,153495.0,272700.0
312,18.958539829464648,72.92590850128585,328,130,23400,12.05,144009.0,900.0
561,18.895478096519458,73.05472691302859,562,608,171000,2.65,142542.0,7200.0
42,19.026182970358846,73.00972131729421,77,441,171000,2.68,141840.0,900.0
242,18.97066708580026,73.04179117293727,283,560,130500,1.75,134091.0,1800.0
579,18.894939107348986,72.946659584349,564,207,216900,1.15,127269.0,2700.0
4,19.04289163464347,73.00379243641902,15,419,265500,0.8,124641.0,2956500.0
564,18.895208601934222,72.9870837721344,563,357,434700,0.38,118926.0,900.0
121,19.001658963102386,72.89410814022803,168,12,270000,0.95,112167.0,27000.0
383,18.945604089373326,72.95636138941751,376,243,59400,2.79,111051.0,5400.0
473,18.912456255389316,72.99678557720289,499,393,250200,0.59,96543.0,33300.0
