sink_id,lat,lon,inflow_m3,capacity_m3,fill_ratio,level
219,19.25121094903079,72.81487673216867,1,13760353.0,0.0,GREEN
362,19.2272259309448,72.83239388020901,0,4433220.0,0.0,GREEN
22,19.31211672529409,72.83967023401037,1,3542256.0,0.0,GREEN
72,19.28031636423626,72.84559911488556,61,1991223.0,0.0,GREEN
489,19.21078676124541,72.80625290544113,1,1636641.0,0.0,GREEN
37,19.29998946895848,72.88440633515953,1,1620342.0,0.0,GREEN
71,19.289209685549043,72.79035272491221,1,1016289.0,0.0,GREEN
576,19.177908421846634,72.82915994518618,0,969660.0,0.0,GREEN
624,19.16766762760767,72.82350055889623,1,594450.0,0.0,GREEN
535,19.19300011861984,72.8286209560157,1,569826.0,0.0,GREEN
140,19.2595652811731,72.83481933147613,1,498303.0,0.0,GREEN
192,19.259295786587863,72.86823666004537,20,422172.0,0.0,GREEN
169,19.264146689122107,72.8008630137364,0,411075.0,0.0,GREEN
143,19.26926708624159,72.81972763470291,0,323100.0,0.0,GREEN
329,19.254983873224088,72.83805326649896,34,275868.0,0.0,GREEN
438,19.22345300675149,72.8173021834358,0,247446.0,0.0,GREEN
16,19.31562015490216,72.84694658781174,0,243630.0,0.0,GREEN
560,19.19326961320508,72.78550182237797,3,234351.0,0.0,GREEN
52,19.295677555594704,72.9000370211032,0,216711.0,0.0,GREEN
78,19.29082665306046,72.79978503539547,0,185337.0,0.0,GREEN
365,19.24716853025225,72.8000545299807,1,174609.0,0.0,GREEN
318,19.254175389468383,72.84074821235131,0,168786.0,0.0,GREEN
116,19.27708242921343,72.78657980071891,0,165078.0,0.0,GREEN
112,19.280585858821496,72.90488792363745,0,141741.0,0.0,GREEN
