sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2
219,19.25121094903079,72.81487673216867,270,259,10224900,3.67,13760353.0,900.0
362,19.227225930944797,72.83239388020901,359,324,3366900,3.88,4433220.0,3600.0
22,19.31211672529409,72.83967023401037,44,351,7569900,0.98,3542256.0,42300.0
72,19.28031636423626,72.84559911488556,162,373,2881800,1.6,1991223.0,73800.0
489,19.21078676124541,72.80625290544113,420,227,2427300,1.21,1636641.0,900.0
37,19.29998946895848,72.88440633515953,89,517,2869200,1.35,1620342.0,900.0
71,19.289209685549043,72.79035272491221,129,168,752400,2.07,1016289.0,8100.0
576,19.177908421846634,72.82915994518618,542,312,459900,3.26,969660.0,4500.0
624,19.16766762760767,72.82350055889623,580,291,261900,3.37,594450.0,900.0
535,19.193000118619842,72.8286209560157,486,310,854100,2.26,569826.0,1800.0
140,19.2595652811731,72.83481933147613,239,333,191700,3.16,498303.0,756900.0
192,19.259295786587863,72.86823666004537,240,457,724500,1.45,422172.0,1143000.0
169,19.264146689122107,72.8008630137364,222,207,337500,2.96,411075.0,900.0
143,19.26926708624159,72.81972763470291,203,277,374400,1.67,323100.0,12600.0
329,19.254983873224088,72.83805326649896,256,345,87300,3.16,275868.0,68400.0
438,19.223453006751495,72.8173021834358,373,268,188100,2.34,247446.0,3600.0
16,19.315620154902156,72.84694658781174,31,378,305100,0.98,243630.0,17100.0
560,19.19326961320508,72.78550182237797,485,150,67500,6.21,234351.0,3600.0
52,19.295677555594704,72.9000370211032,105,575,307800,1.29,216711.0,900.0
287,19.254714378638855,72.83266337479424,257,325,295200,1.63,214272.0,158400.0
78,19.29082665306046,72.79978503539547,123,203,165600,1.67,185337.0,900.0
365,19.24716853025225,72.8000545299807,285,204,280800,1.68,174609.0,43200.0
318,19.254175389468383,72.84074821235131,259,355,296100,1.57,168786.0,3600.0
116,19.27708242921343,72.78657980071891,174,154,245700,1.18,165078.0,900.0
112,19.280585858821496,72.90488792363745,161,593,104400,1.49,141741.0,900.0
