sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2,rsi,gw_depth_m,ksat_mm_hr,recharge_score
136,19.196234053642677,72.9841193316968,474,346,15123600,4.24,31844195.0,45900.0,0.2103802782632997,7.747467109582274,6.380191536034333,6699390.605170777
61,19.28678423428192,73.00136698515189,138,410,3675600,1.91,4454316.0,900.0,0.35092682120749946,7.747431571079993,8.965621146993877,1563138.954533704
42,19.24312611147371,73.00460092017472,300,422,11060100,1.46,6989795.0,900.0,0.16359135662351237,7.747448716333598,6.380191536034333,1143470.0465702438
364,19.20809181539305,73.01834514402175,430,473,3040200,3.25,4762909.0,900.0,0.22922384236380858,7.747462442221036,6.380191536034333,1091772.3018091652
32,19.308613295686023,72.94315615474095,57,194,971100,2.63,1947060.0,12600.0,0.45074117804378583,7.7474233781327655,9.094253375769352,877620.1181219337
169,19.284089288429563,72.92186608250732,148,115,254700,9.6,1536678.0,8100.0,0.5587430732777127,7.747433102264794,10.184984755159746,858608.1883582489
116,19.2919046314014,72.92483052294492,119,126,369000,11.58,2746476.0,10800.0,0.3058695457516802,7.747430036900698,6.380191536034333,840063.3665378916
293,19.234232790160927,73.02777745450501,333,508,1765800,0.59,604890.0,76500.0,0.49297392448752764,7.747452159762961,8.969750918956528,298194.99718326057
12,19.31804560616928,72.96821915116789,22,287,2062800,0.73,1047996.0,2700.0,0.27413272374989817,7.747419493273184,9.094811800706921,287289.99795899825
312,19.216176652950125,73.02130958445935,400,484,4203900,0.95,2240712.0,900.0,0.12799209570238546,7.747459266293872,6.380191536034333,286793.4247454835
16,19.316428638657865,72.95824785151416,28,250,807300,0.78,279837.0,21600.0,0.3998172508203709,7.747420203028161,9.330259366580774,111883.66001782013
540,19.178716905602343,72.97657348331019,539,318,602100,2.07,725526.0,1800.0,0.15140510998539866,7.747473944532327,6.380191536034333,109848.34382726635
538,19.174404992238568,73.0374792595735,555,544,1047600,1.4,497502.0,1800.0,0.19056404734780286,7.7474756699057545,6.380191536034333,94805.99468362662
192,19.280585858821496,72.90488792363746,161,52,132300,1.64,163647.0,900.0,0.5283460293759296,7.747434584209976,9.439747621746074,86462.24266928274
109,19.29918098520277,72.97953792374778,92,329,191700,1.4,162315.0,1800.0,0.5306132018845235,7.747426821767803,10.207993463544085,86126.48186388644
147,19.2919046314014,72.91836265289925,119,102,45000,5.35,214911.0,900.0,0.39285564138816986,7.747430084212354,6.380191536034333,84428.99874637298
533,19.1814118514547,73.02535200323788,529,499,251100,1.55,183402.0,2700.0,0.36080403965545166,7.747472906714659,6.380191536034333,66172.18248088914
155,19.29001816930475,72.93480182259863,126,163,60300,10.97,439506.0,1800.0,0.13764149068228196,7.747430702059991,6.380191536034333,60494.26100380701
152,19.28705372886716,72.90515741822269,137,53,778500,2.5,670068.0,88200.0,0.08591086523573092,7.747432069349177,6.380191536034333,57566.12164677575
43,19.30942177944173,73.01996211153316,54,479,315000,0.6,114057.0,900.0,0.4738335650501935,7.747422546514241,9.785290350236236,54044.03492892992
469,19.19300011861984,73.02481301406742,486,497,297000,6.33,847800.0,3600.0,0.054165216135398805,7.747468361947901,6.380191536034333,45921.270239591104
178,19.28678423428192,72.93264586591675,138,155,99000,2.75,160947.0,900.0,0.0615458294204313,7.7474319782758,6.380191536034333,9905.616607730157
532,19.179525389358048,72.98627528837868,536,354,886500,0.71,298782.0,900.0,0.020587883532209948,7.74747362794735,6.380191536034333,6151.289017520752
398,19.200545967006445,73.03451481913591,458,533,216000,1.45,122364.0,1800.0,0.005778116326769867,7.747465401417814,6.380191536034333,707.033426208868
461,19.19650354822791,73.03936572167015,473,551,201600,2.86,305055.0,55800.0,0.0,7.747466991892816,9.606983613966973,0.0
