sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2
136,19.196234053642673,72.9841193316968,474,346,15123600,4.24,31844195.0,45900.0
42,19.24312611147371,73.00460092017472,300,422,11060100,1.46,6989795.0,900.0
364,19.20809181539305,73.01834514402175,430,473,3040200,3.25,4762909.0,900.0
61,19.28678423428192,73.00136698515189,138,410,3675600,1.91,4454316.0,900.0
116,19.2919046314014,72.92483052294492,119,126,369000,11.58,2746476.0,10800.0
312,19.216176652950125,73.02130958445935,400,484,4203900,0.95,2240712.0,900.0
32,19.308613295686026,72.94315615474095,57,194,971100,2.63,1947060.0,12600.0
169,19.284089288429563,72.92186608250732,148,115,254700,9.6,1536678.0,8100.0
12,19.31804560616928,72.96821915116789,22,287,2062800,0.73,1047996.0,2700.0
469,19.193000118619842,73.02481301406742,486,497,297000,6.33,847800.0,3600.0
540,19.178716905602343,72.97657348331019,539,318,602100,2.07,725526.0,1800.0
152,19.287053728867157,72.90515741822269,137,53,778500,2.5,670068.0,88200.0
293,19.234232790160927,73.02777745450501,333,508,1765800,0.59,604890.0,76500.0
538,19.174404992238568,73.0374792595735,555,544,1047600,1.4,497502.0,1800.0
155,19.29001816930475,72.93480182259863,126,163,60300,10.97,439506.0,1800.0
461,19.19650354822791,73.03936572167015,473,551,201600,2.86,305055.0,55800.0
532,19.179525389358048,72.98627528837868,536,354,886500,0.71,298782.0,900.0
16,19.316428638657865,72.95824785151416,28,250,807300,0.78,279837.0,21600.0
147,19.2919046314014,72.91836265289925,119,102,45000,5.35,214911.0,900.0
533,19.1814118514547,73.02535200323788,529,499,251100,1.55,183402.0,2700.0
192,19.280585858821496,72.90488792363746,161,52,132300,1.64,163647.0,900.0
109,19.29918098520277,72.97953792374778,92,329,191700,1.4,162315.0,1800.0
178,19.28678423428192,72.93264586591675,138,155,99000,2.75,160947.0,900.0
398,19.200545967006445,73.03451481913591,458,533,216000,1.45,122364.0,1800.0
43,19.30942177944173,73.01996211153316,54,479,315000,0.6,114057.0,900.0
