sink_id,lat,lon,inflow_m3,capacity_m3,fill_ratio,level
356,19.093017627497343,72.87847745428434,7481,40203.0,0.19,GREEN
76,19.164433692584844,72.82915994518618,3,3209346.0,0.0,GREEN
375,19.076039468627485,72.87200958423868,5,2937699.0,0.0,GREEN
30,19.1595827900506,72.7970900895431,0,1951443.0,0.0,GREEN
235,19.13532827737937,72.90219297778509,0,1598634.0,0.0,GREEN
275,19.11754163475381,72.83616680440231,12,1243998.0,0.0,GREEN
447,19.050706977615317,72.84155669610702,11,997092.0,0.0,GREEN
129,19.14664704995928,72.80894785129348,301,696375.0,0.0,GREEN
411,19.07361401736036,72.84856355532315,0,405045.0,0.0,GREEN
344,19.103527916321543,72.82915994518618,0,402417.0,0.0,GREEN
416,19.068763114826115,72.88413684057429,1,140841.0,0.0,GREEN
86,19.16200824131772,72.8127207754868,0,119682.0,0.0,GREEN
184,19.1415266528398,72.79574261661693,0,109494.0,0.0,GREEN
179,19.140179179913616,72.82808196684523,3,89046.0,0.0,GREEN
232,19.133441815282723,72.83185489103853,0,77670.0,0.0,GREEN
38,19.171710046386213,72.83751427732848,0,69795.0,0.0,GREEN
21,19.17790842184664,72.82915994518618,0,59400.0,0.0,GREEN
520,19.048820515518663,72.87389604633533,0,58617.0,0.0,GREEN
583,19.030494883722625,72.88225037847764,0,54459.0,0.0,GREEN
106,19.155809865857297,72.799246046225,0,52272.0,0.0,GREEN
428,19.06579867438852,72.91243377202406,0,51021.0,0.0,GREEN
332,19.1099957863672,72.83751427732848,1,42678.0,0.0,GREEN
110,19.153923403760647,72.81703268885056,0,38151.0,0.0,GREEN
