sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2
76,19.164433692584844,72.82915994518618,76,312,2268900,3.26,3209346.0,900.0
375,19.076039468627485,72.87200958423868,404,471,2303100,2.57,2937699.0,3600.0
30,19.1595827900506,72.7970900895431,94,193,2907900,2.64,1951443.0,7200.0
235,19.135328277379372,72.90219297778509,184,583,902700,2.48,1598634.0,2700.0
275,19.117541634753806,72.83616680440231,250,338,1122300,1.96,1243998.0,325800.0
447,19.050706977615313,72.84155669610702,498,358,697500,3.07,997092.0,18900.0
129,19.146647049959277,72.80894785129348,142,237,528300,3.93,696375.0,2962800.0
411,19.07361401736036,72.84856355532315,413,384,445500,3.07,405045.0,2700.0
344,19.103527916321543,72.82915994518618,302,312,846900,1.1,402417.0,3600.0
416,19.068763114826115,72.88413684057429,431,516,601200,0.34,140841.0,118800.0
86,19.16200824131772,72.8127207754868,85,251,180000,1.59,119682.0,900.0
184,19.141526652839797,72.79574261661693,161,188,109800,3.85,109494.0,900.0
179,19.140179179913616,72.82808196684523,166,308,223200,1.47,89046.0,17100.0
232,19.133441815282723,72.83185489103853,191,322,182700,0.67,77670.0,29700.0
38,19.171710046386213,72.83751427732848,49,343,213300,0.52,69795.0,4500.0
21,19.177908421846638,72.82915994518618,26,312,118800,0.5,59400.0,4500.0
520,19.048820515518663,72.87389604633533,505,478,207000,0.47,58617.0,1800.0
210,19.137753728646494,72.8240395480667,175,293,153000,0.67,55314.0,31500.0
583,19.030494883722625,72.88225037847764,573,509,70200,0.86,54459.0,1800.0
106,19.155809865857297,72.799246046225,108,201,19800,2.64,52272.0,36000.0
171,19.1452995770331,72.8173021834358,147,268,40500,2.93,51381.0,900.0
428,19.06579867438852,72.91243377202406,442,621,150300,0.66,51021.0,900.0
332,19.1099957863672,72.83751427732848,278,343,110700,0.63,42678.0,164700.0
356,19.093017627497343,72.87847745428434,341,495,174600,0.33,40203.0,30224700.0
110,19.153923403760647,72.81703268885056,115,267,60300,1.09,38151.0,2700.0
