sink_id,lat,lon,row,col,area_m2,max_depth_m,volume_m3,catchment_m2
116,12.73617935095396,77.2682747531912,207,213,102600,1.87,100524.0,89100.0
14,12.779837473762168,77.24509821886092,45,127,101700,1.33,66945.0,1854900.0
34,12.773100109131272,77.23997782174143,70,108,148500,1.65,66930.0,525600.0
85,12.752618520653346,77.3313364861364,146,447,75600,1.9,63314.0,7200.0
110,12.734292888857308,77.281749482453,214,263,81900,1.33,57103.0,165600.0
2,12.789808773415896,77.257764464367,8,174,54900,1.67,52326.0,2700.0
56,12.76474577698896,77.29764966298191,101,322,33300,2.55,47168.0,1800.0
58,12.764476282403724,77.23189298418437,102,78,62100,2.1,36568.0,3600.0
32,12.770405163278912,77.30034460883427,80,332,49500,1.22,31931.0,7759800.0
307,12.661798845428862,77.30950742473229,483,366,14400,3.34,27954.0,454500.0
183,12.71003837618608,77.32998901321021,304,442,45900,0.89,21087.0,1800.0
207,12.698180614435703,77.27635959074829,348,243,31500,1.0,18477.0,5400.0
299,12.66395480211075,77.28417493372012,475,272,13500,2.57,17541.0,401400.0
160,12.716775740816978,77.2141063415588,279,12,24300,0.63,15309.0,900.0
291,12.670961661326881,77.33160598072163,449,448,32400,0.73,13365.0,156891600.0
271,12.6763515530316,77.21895724409305,429,30,26100,0.7,12239.0,339300.0
196,12.702762022384713,77.2170707819964,331,23,11700,1.85,9855.0,3600.0
255,12.684436390588674,77.27609009616305,399,242,12600,1.39,9477.0,150300.0
243,12.686322852685326,77.224616630383,392,51,13500,1.12,9181.0,2700.0
117,12.738335307635847,77.28956482542483,199,292,11700,1.75,8649.0,122400.0
130,12.728902997152591,77.29252926586243,234,303,10800,1.31,7902.0,28896300.0
277,12.675273574690657,77.3237906377498,433,419,11700,1.0,7803.0,103500.0
182,12.710846859941789,77.27285616114021,301,230,9900,1.45,7335.0,20700.0
12,12.78361039795547,77.24078630549715,31,111,12600,1.36,6858.0,1800.0
147,12.724321589203582,77.25668648602607,251,170,12600,0.82,6570.0,6051600.0
